,Word,Lower_case
0,Afghanistan,afghanistan
1,Akrotiri,akrotiri
2,Akrotiri,akrotiri
3,Dhekelia,dhekelia
4,Aland,aland
5,Aland,aland
6,Islands,islands
7,Albania,albania
8,Algeria,algeria
9,America,america
10,American,american
11,Samoa,samoa
12,Andorra,andorra
13,Angola,angola
14,Anguilla,anguilla
15,Antigua,antigua
16,Antigua,antigua
17,Barbuda,barbuda
18,Argentina,argentina
19,Armenia,armenia
20,Aruba,aruba
21,Ascension,ascension
22,Island,island
23,Australia,australia
24,Austria,austria
25,Azerbaijan,azerbaijan
26,Bahamas,bahamas
27,Bahrain,bahrain
28,Bangladesh,bangladesh
29,Barbados,barbados
30,Barbuda,barbuda
31,Belarus,belarus
32,Belgium,belgium
33,Belize,belize
34,Benin,benin
35,Bermuda,bermuda
36,Bhutan,bhutan
37,Bolivia,bolivia
38,Bosnia,bosnia
39,Bosnia,bosnia
40,Herzegovina,herzegovina
41,Botswana,botswana
42,Brazil,brazil
43,British,british
44,Virgin,virgin
45,Islands,islands
46,Brunei,brunei
47,Bulgaria,bulgaria
48,Burkina,burkina
49,Faso,faso
50,Burma,burma
51,Burundi,burundi
52,Caicos,caicos
53,Islands,islands
54,Cambodia,cambodia
55,Cameroon,cameroon
56,Canada,canada
57,Cape,cape
58,Verde,verde
59,Cayman,cayman
60,Islands,islands
61,Central,central
62,African,african
63,Republic,republic
64,Chad,chad
65,Chile,chile
66,China,china
67,Christmas,christmas
68,Island,island
69,Cocos,cocos
70,Cocos,cocos
71,Islands,islands
72,Colombia,colombia
73,Comoros,comoros
74,Congo,congo
75,Cook,cook
76,Islands,islands
77,Costa,costa
78,Rica,rica
79,Cote,cote
80,d'Ivoire,d'ivoire
81,Croatia,croatia
82,Cuba,cuba
83,Cyprus,cyprus
84,Czech,czech
85,Republic,republic
86,Democratic,democratic
87,Republic,republic
88,of,of
89,Congo,congo
90,Denmark,denmark
91,Dhekelia,dhekelia
92,Djibouti,djibouti
93,Dominica,dominica
94,Dominican,dominican
95,Republic,republic
96,East,east
97,Timor,timor
98,Ecuador,ecuador
99,Egypt,egypt
100,El,el
101,Salvador,salvador
102,England,england
103,Equatorial,equatorial
104,Guinea,guinea
105,Eritrea,eritrea
106,Estonia,estonia
107,Ethiopia,ethiopia
108,Falkland,falkland
109,Islands,islands
110,Faroe,faroe
111,Islands,islands
112,Fiji,fiji
113,Finland,finland
114,Former,former
115,Soviet,soviet
116,Union,union
117,Former,former
118,USSR,ussr
119,France,france
120,French,french
121,Polynesia,polynesia
122,Futuna,futuna
123,Islands,islands
124,Gabon,gabon
125,Gambia,gambia
126,Georgia,georgia
127,Germany,germany
128,Ghana,ghana
129,Gibraltar,gibraltar
130,Greece,greece
131,Greenland,greenland
132,Grenada,grenada
133,Grenadines,grenadines
134,Guam,guam
135,Guatemala,guatemala
136,Guernsey,guernsey
137,Guinea,guinea
138,Guinea-Bissau,guinea-bissau
139,Guyana,guyana
140,Haiti,haiti
141,Herzegovina,herzegovina
142,Honduras,honduras
143,Hong,hong
144,Kong,kong
145,Hoorn,hoorn
146,Islands,islands
147,Hungary,hungary
148,Iceland,iceland
149,India,india
150,Indonesia,indonesia
151,Iran,iran
152,Iraq,iraq
153,Ireland,ireland
154,Isle,isle
155,of,of
156,Man,man
157,Israel,israel
158,Italy,italy
159,Jamaica,jamaica
160,Japan,japan
161,Jersey,jersey
162,Jordan,jordan
163,Kazakhstan,kazakhstan
164,Keeling,keeling
165,Islands,islands
166,Kenya,kenya
167,Kiribati,kiribati
168,Korea,korea
169,Kosovo,kosovo
170,Kuwait,kuwait
171,Kyrgyzstan,kyrgyzstan
172,Laos,laos
173,Latvia,latvia
174,Lebanon,lebanon
175,Lesotho,lesotho
176,Liberia,liberia
177,Libya,libya
178,Liechtenstein,liechtenstein
179,Lithuania,lithuania
180,Luxembourg,luxembourg
181,Macao,macao
182,Macau,macau
183,Macedonia,macedonia
184,Madagascar,madagascar
185,Malawi,malawi
186,Malaysia,malaysia
187,Maldives,maldives
188,Mali,mali
189,Malta,malta
190,Marshall,marshall
191,Islands,islands
192,Mauritania,mauritania
193,Mauritius,mauritius
194,Mayotte,mayotte
195,Mexico,mexico
196,Micronesia,micronesia
