,Word,Lower_case
0,Eland,eland
1,Islands,islands
2,Albania,albania
3,Algeria,algeria
4,American,american
5,Samoa,samoa
6,Andorra,andorra
7,Angola,angola
8,Anguilla,anguilla
9,Antigua,antigua
10,Barbuda,barbuda
11,Argentina,argentina
12,Armenia,armenia
13,Aruba,aruba
14,Australia,australia
15,Austria,austria
16,Azerbaijan,azerbaijan
17,Bahamas,bahamas
18,Bangladesh,bangladesh
19,Barbados,barbados
20,Belarus,belarus
21,Belgium,belgium
22,Belize,belize
23,Benin,benin
24,Bermuda,bermuda
25,Bhutan,bhutan
26,Bolivia,bolivia
27,Bosnia,bosnia
28,Herzegovina,herzegovina
29,Botswana,botswana
30,Bouvet,bouvet
31,Island,island
32,Brazil,brazil
33,British,british
34,Indian,indian
35,Ocean,ocean
36,Territory,territory
37,Brunei,brunei
38,Darussalam,darussalam
39,Bulgaria,bulgaria
40,Burkina,burkina
41,Faso,faso
42,Burundi,burundi
43,Cambodia,cambodia
44,Cameroon,cameroon
45,Canada,canada
46,Cape,cape
47,Verde,verde
48,Cayman,cayman
49,Islands,islands
50,Central,central
51,African,african
52,Republic,republic
53,Chad,chad
54,Chile,chile
55,China,china
56,Christmas,christmas
57,Island,island
58,Cocos,cocos
59,(Keeling),(keeling)
60,Islands,islands
61,Colombia,colombia
62,Comoros,comoros
63,Congo,congo
64,Democratic,democratic
65,Republic,republic
66,Congo,congo
67,Cook,cook
68,Islands,islands
69,Costa,costa
70,Rica,rica
71,Cote,cote
72,Ivoire,ivoire
73,Croatia,croatia
74,Cuba,cuba
75,Cyprus,cyprus
76,Czech,czech
77,Republic,republic
78,Djibouti,djibouti
79,Dominica,dominica
80,Dominican,dominican
81,Republic,republic
82,Ecuador,ecuador
83,Egypt,egypt
84,El,el
85,Salvador,salvador
86,Equatorial,equatorial
87,Guinea,guinea
88,Eritrea,eritrea
89,Estonia,estonia
90,Ethiopia,ethiopia
91,Falkland,falkland
92,Islands,islands
93,Faroe,faroe
94,Islands,islands
95,Fiji,fiji
96,Finland,finland
97,France,france
98,French,french
99,Guiana,guiana
100,French,french
101,Polynesia,polynesia
102,French,french
103,Southern,southern
104,Territories,territories
105,Gabon,gabon
106,Georgia,georgia
107,Germany,germany
108,Ghana,ghana
109,Gibraltar,gibraltar
110,Greece,greece
111,Greenland,greenland
112,Grenada,grenada
113,Guadeloupe,guadeloupe
114,Guam,guam
115,Guatemala,guatemala
116,Guernsey,guernsey
117,Guinea,guinea
118,Guinea-Bissau,guinea-bissau
119,Guyana,guyana
120,Haiti,haiti
121,Holy,holy
122,See,see
123,Vatican,vatican
124,City,city
125,State,state
126,Honduras,honduras
127,Hong,hong
128,Kong,kong
129,Hungary,hungary
130,Iceland,iceland
131,India,india
132,Indonesia,indonesia
133,Iran,iran
134,Islamic,islamic
135,Republic,republic
136,Iran,iran
137,Iraq,iraq
138,Ireland,ireland
139,Isle,isle
140,Man,man
141,Israel,israel
142,Italy,italy
143,Japan,japan
144,Jersey,jersey
145,Jordan,jordan
146,Kazakhstan,kazakhstan
147,Kenya,kenya
148,Kiribati,kiribati
149,Korea,korea
150,Democratic,democratic
151,People's,people's
152,Republic,republic
153,Korea,korea
154,Republic,republic
155,Korea,korea
156,Kuwait,kuwait
157,Kyrgyzstan,kyrgyzstan
158,Lao,lao
159,People's,people's
160,Democratic,democratic
161,Republic,republic
162,Latvia,latvia
163,Lebanon,lebanon
164,Lesotho,lesotho
165,Liberia,liberia
166,Libyan,libyan
167,Arab,arab
168,Jamahiriya,jamahiriya
169,Liechtenstein,liechtenstein
170,Lithuania,lithuania
171,Luxembourg,luxembourg
172,Macedonia,macedonia
173,Yugoslav,yugoslav
174,Republic,republic
175,Macedonia,macedonia
176,Madagascar,madagascar
