,Word,Lower_case
0,Huntsville,huntsville
1,Mobile,mobile
2,Montgomery,montgomery
3,Anchorage,anchorage
4,Chandler,chandler
5,Glendale,glendale
6,Mesa,mesa
7,Peoria,peoria
8,Phoenix,phoenix
9,Scottsdale,scottsdale
10,Tempe,tempe
11,Tucson,tucson
12,Little,little
13,Rock,rock
14,Anaheim,anaheim
15,Antioch,antioch
16,Bakersfield,bakersfield
17,Berkeley,berkeley
18,Burbank,burbank
19,Chula,chula
20,Vista,vista
21,Concord,concord
22,Corona,corona
23,Costa,costa
24,Mesa,mesa
25,Daly,daly
26,City,city
27,Downey,downey
28,El,el
29,Monte,monte
30,Elk,elk
31,Grove,grove
32,Escondido,escondido
33,Fairfield,fairfield
34,Fontana,fontana
35,Fremont,fremont
36,Fresno,fresno
37,Fullerton,fullerton
38,Garden,garden
39,Grove,grove
40,Glendale,glendale
41,Hayward,hayward
42,Huntington,huntington
43,Beach,beach
44,Inglewood,inglewood
45,Irvine,irvine
46,Lancaster,lancaster
47,Long,long
48,Beach,beach
49,Los,los
50,Angeles,angeles
51,Modesto,modesto
52,Moreno,moreno
53,Valley,valley
54,Oakland,oakland
55,Oceanside,oceanside
56,Ontario,ontario
57,Orange,orange
58,Oxnard,oxnard
59,Palmdale,palmdale
60,Pasadena,pasadena
61,Pomona,pomona
62,Rancho,rancho
63,Cucamonga,cucamonga
64,Richmond,richmond
65,Riverside,riverside
66,Roseville,roseville
67,Sacramento,sacramento
68,Salinas,salinas
69,San,san
70,Bernardino,bernardino
71,San,san
72,Buenaventura,buenaventura
73,(Ventura),(ventura)
74,San,san
75,Diego,diego
76,San,san
77,Francisco,francisco
78,San,san
79,Jose,jose
80,Santa,santa
81,Ana,ana
82,Santa,santa
83,Clara,clara
84,Santa,santa
85,Clarita,clarita
86,Santa,santa
87,Rosa,rosa
88,Simi,simi
89,Valley,valley
90,Stockton,stockton
91,Sunnyvale,sunnyvale
92,Thousand,thousand
93,Oaks,oaks
94,Torrance,torrance
95,Vallejo,vallejo
96,Visalia,visalia
97,West,west
98,Covina,covina
99,Arvada,arvada
100,Aurora,aurora
101,Colorado,colorado
102,Springs,springs
103,Denver,denver
104,Fort,fort
105,Collins,collins
106,Lakewood,lakewood
107,Pueblo,pueblo
108,Thornton,thornton
109,Westminster,westminster
110,Bridgeport,bridgeport
111,Hartford,hartford
112,New,new
113,Haven,haven
114,Stamford,stamford
115,Waterbury,waterbury
116,Washington,washington
117,Cape,cape
118,Coral,coral
119,Clearwater,clearwater
120,Coral,coral
121,Springs,springs
122,Fort,fort
123,Lauderdale,lauderdale
124,Gainesville,gainesville
125,Hialeah,hialeah
126,Hollywood,hollywood
127,Jacksonville,jacksonville
128,Miami,miami
129,Miramar,miramar
130,Orlando,orlando
131,Pembroke,pembroke
132,Pines,pines
133,Pompano,pompano
134,Beach,beach
135,St.,st.
136,Petersburg,petersburg
137,Tallahassee,tallahassee
138,Tampa,tampa
139,Atlanta,atlanta
140,Columbus,columbus
141,Macon,macon
142,Savannah,savannah
143,Honolulu,honolulu
144,Boise,boise
145,Aurora,aurora
146,Chicago,chicago
147,Joliet,joliet
148,Naperville,naperville
149,Peoria,peoria
150,Rockford,rockford
151,Springfield,springfield
