,Word,Lower_case
0,Alaska,alaska
1,Arizona,arizona
2,Arkansas,arkansas
3,California,california
4,Colorado,colorado
5,Connecticut,connecticut
6,Delaware,delaware
7,District,district
8,Columbia,columbia
9,Florida,florida
10,Georgia,georgia
11,Hawaii,hawaii
12,Idaho,idaho
13,Illinois,illinois
14,Indiana,indiana
15,Iowa,iowa
16,Kansas,kansas
17,Kentucky,kentucky
18,Louisiana,louisiana
19,Maine,maine
20,Maryland,maryland
21,Massachusetts,massachusetts
22,Michigan,michigan
23,Minnesota,minnesota
24,Mississippi,mississippi
25,Missouri,missouri
26,Montana,montana
27,Nebraska,nebraska
28,Nevada,nevada
29,Hampshire,hampshire
30,Jersey,jersey
31,Mexico,mexico
32,York,york
33,North,north
34,Carolina,carolina
35,North,north
36,Dakota,dakota
37,Ohio,ohio
38,Oklahoma,oklahoma
39,Oregon,oregon
40,Pennsylvania,pennsylvania
41,Rhode,rhode
42,Island,island
43,South,south
44,Carolina,carolina
45,South,south
46,Dakota,dakota
47,Tennessee,tennessee
48,Texas,texas
49,Utah,utah
50,Vermont,vermont
51,Virginia,virginia
52,Washington,washington
53,West,west
54,Virginia,virginia
55,Wisconsin,wisconsin
56,Wyoming,wyoming
