,Word,Lower_case
0,Albanian,albanian
1,Algerian,algerian
2,American,american
3,Andorran,andorran
4,Angolan,angolan
5,Antiguans,antiguans
6,Argentinean,argentinean
7,Armenian,armenian
8,Australian,australian
9,Austrian,austrian
10,Azerbaijani,azerbaijani
11,Bahamian,bahamian
12,Bahraini,bahraini
13,Bangladeshi,bangladeshi
14,Barbadian,barbadian
15,Barbudans,barbudans
16,Batswana,batswana
17,Belarusian,belarusian
18,Belgian,belgian
19,Belizean,belizean
20,Beninese,beninese
21,Bhutanese,bhutanese
22,Bolivian,bolivian
23,Bosnian,bosnian
24,Brazilian,brazilian
25,British,british
26,Bruneian,bruneian
27,Bulgarian,bulgarian
28,Burkinabe,burkinabe
29,Burmese,burmese
30,Burundian,burundian
31,Cambodian,cambodian
32,Cameroonian,cameroonian
33,Canadian,canadian
34,Cape,cape
35,Verdean,verdean
36,Central,central
37,African,african
38,Chadian,chadian
39,Chilean,chilean
40,Chinese,chinese
41,Colombian,colombian
42,Comoran,comoran
43,Congolese,congolese
44,Congolese,congolese
45,Costa,costa
46,Rican,rican
47,Croatian,croatian
48,Cuban,cuban
49,Cypriot,cypriot
50,Czech,czech
51,Danish,danish
52,Djibouti,djibouti
53,Dominican,dominican
54,Dominican,dominican
55,Dutch,dutch
56,Dutchman,dutchman
57,Dutchwoman,dutchwoman
58,East,east
59,Timorese,timorese
60,Ecuadorean,ecuadorean
61,Egyptian,egyptian
62,Emirian,emirian
63,Equatorial,equatorial
64,Guinean,guinean
65,Eritrean,eritrean
66,Estonian,estonian
67,Ethiopian,ethiopian
68,Fijian,fijian
69,Filipino,filipino
70,Finnish,finnish
71,French,french
72,Gabonese,gabonese
73,Gambian,gambian
74,Georgian,georgian
75,German,german
76,Ghanaian,ghanaian
77,Greek,greek
78,Grenadian,grenadian
79,Guatemalan,guatemalan
80,Guinea-Bissauan,guinea-bissauan
81,Guinean,guinean
82,Guyanese,guyanese
83,Haitian,haitian
84,Herzegovinian,herzegovinian
85,Honduran,honduran
86,Hungarian,hungarian
87,I-Kiribati,i-kiribati
88,Icelander,icelander
89,Indian,indian
90,Indonesian,indonesian
91,Iranian,iranian
92,Iraqi,iraqi
93,Irish,irish
94,Irish,irish
95,Israeli,israeli
96,Italian,italian
97,Ivorian,ivorian
98,Jamaican,jamaican
99,Japanese,japanese
100,Jordanian,jordanian
101,Kazakhstani,kazakhstani
102,Kenyan,kenyan
103,Kittian,kittian
104,Nevisian,nevisian
105,Kuwaiti,kuwaiti
106,Kyrgyz,kyrgyz
107,Laotian,laotian
108,Latvian,latvian
109,Lebanese,lebanese
110,Liberian,liberian
111,Libyan,libyan
112,Liechtensteiner,liechtensteiner
113,Lithuanian,lithuanian
114,Luxembourger,luxembourger
115,Macedonian,macedonian
116,Malagasy,malagasy
117,Malawian,malawian
118,Malaysian,malaysian
119,Maldivan,maldivan
120,Malian,malian
121,Maltese,maltese
122,Marshallese,marshallese
123,Mauritanian,mauritanian
124,Mauritian,mauritian
125,Mexican,mexican
126,Micronesian,micronesian
127,Moldovan,moldovan
128,Monacan,monacan
129,Mongolian,mongolian
130,Moroccan,moroccan
131,Mosotho,mosotho
132,Motswana,motswana
133,Mozambican,mozambican
134,Namibian,namibian
135,Nauruan,nauruan
136,Nepalese,nepalese
137,Netherlander,netherlander
138,New,new
139,Zealander,zealander
140,Ni-Vanuatu,ni-vanuatu
141,Nicaraguan,nicaraguan
142,Nigerian,nigerian
143,Nigerien,nigerien
144,North,north
145,Korean,korean
146,Northern,northern
147,Irish,irish
148,Norwegian,norwegian
149,Omani,omani
150,Pakistani,pakistani
151,Palauan,palauan
152,Panamanian,panamanian
153,Papua,papua
154,New,new
155,Guinean,guinean
156,Paraguayan,paraguayan
157,Peruvian,peruvian
158,Polish,polish
159,Portuguese,portuguese
160,Qatari,qatari
161,Romanian,romanian
162,Russian,russian
163,Rwandan,rwandan
164,Saint,saint
165,Lucian,lucian
166,Salvadoran,salvadoran
167,Samoan,samoan
168,San,san
169,Marinese,marinese
170,Sao,sao
171,Tomean,tomean
172,Saudi,saudi
173,Scottish,scottish
174,Senegalese,senegalese
175,Serbian,serbian
176,Seychellois,seychellois
177,Sierra,sierra
178,Leonean,leonean
179,Singaporean,singaporean
180,Slovakian,slovakian
181,Slovenian,slovenian
182,Solomon,solomon
183,Islander,islander
184,Somali,somali
185,South,south
186,African,african
187,South,south
188,Korean,korean
189,Spanish,spanish
190,Sri,sri
191,Lankan,lankan
192,Sudanese,sudanese
193,Surinamer,surinamer
194,Swazi,swazi
195,Swedish,swedish
196,Swiss,swiss
197,Syrian,syrian
198,Taiwanese,taiwanese
199,Tajik,tajik
200,Tanzanian,tanzanian
201,Thai,thai
202,Togolese,togolese
203,Tongan,tongan
204,Trinidadian,trinidadian
205,Tobagonian,tobagonian
206,Tunisian,tunisian
207,Turkish,turkish
208,Tuvaluan,tuvaluan
209,Ugandan,ugandan
210,Ukrainian,ukrainian
211,Uruguayan,uruguayan
212,Uzbekistani,uzbekistani
213,Venezuelan,venezuelan
214,Vietnamese,vietnamese
215,Welsh,welsh
216,Welsh,welsh
217,Yemenite,yemenite
218,Zambian,zambian
219,Zimbabwean,zimbabwean
