,Word,Lower_case
0,Abagail,abagail
1,Abbe,abbe
2,Abbey,abbey
3,Abbi,abbi
4,Abbie,abbie
5,Abby,abby
6,Abigael,abigael
7,Abigail,abigail
8,Abigale,abigale
9,Abra,abra
10,Acacia,acacia
11,Ada,ada
12,Adah,adah
13,Adaline,adaline
14,Adara,adara
15,Addie,addie
16,Addis,addis
17,Adel,adel
18,Adela,adela
19,Adelaide,adelaide
20,Adele,adele
21,Adelice,adelice
22,Adelina,adelina
23,Adelind,adelind
24,Adeline,adeline
25,Adella,adella
26,Adelle,adelle
27,Adena,adena
28,Adey,adey
29,Adi,adi
30,Adiana,adiana
31,Adina,adina
32,Adora,adora
33,Adore,adore
34,Adoree,adoree
35,Adorne,adorne
36,Adrea,adrea
37,Adria,adria
38,Adriaens,adriaens
39,Adrian,adrian
40,Adriana,adriana
41,Adriane,adriane
42,Adrianna,adrianna
43,Adrianne,adrianne
44,Adrien,adrien
45,Adriena,adriena
46,Adrienne,adrienne
47,Aeriel,aeriel
48,Aeriela,aeriela
49,Aeriell,aeriell
50,Ag,ag
51,Agace,agace
52,Agata,agata
53,Agatha,agatha
54,Agathe,agathe
55,Aggi,aggi
56,Aggie,aggie
57,Aggy,aggy
58,Agna,agna
59,Agnella,agnella
60,Agnes,agnes
61,Agnese,agnese
62,Agnesse,agnesse
63,Agneta,agneta
64,Agnola,agnola
65,Agretha,agretha
66,Aida,aida
67,Aidan,aidan
68,Aigneis,aigneis
69,Aila,aila
70,Aile,aile
71,Ailee,ailee
72,Aileen,aileen
73,Ailene,ailene
74,Ailey,ailey
75,Aili,aili
76,Ailina,ailina
77,Ailyn,ailyn
78,Aime,aime
79,Aimee,aimee
80,Aimil,aimil
81,Aina,aina
82,Aindrea,aindrea
83,Ainslee,ainslee
84,Ainsley,ainsley
85,Ainslie,ainslie
86,Ajay,ajay
87,Alaine,alaine
88,Alameda,alameda
89,Alana,alana
90,Alanah,alanah
91,Alane,alane
92,Alanna,alanna
93,Alayne,alayne
94,Alberta,alberta
95,Albertina,albertina
96,Albertine,albertine
97,Albina,albina
98,Alecia,alecia
99,Aleda,aleda
100,Aleece,aleece
101,Aleecia,aleecia
102,Aleen,aleen
103,Alejandra,alejandra
104,Alejandrina,alejandrina
105,Alena,alena
106,Alene,alene
107,Alessandra,alessandra
108,Aleta,aleta
109,Alethea,alethea
110,Alex,alex
111,Alexa,alexa
112,Alexandra,alexandra
113,Alexandrina,alexandrina
114,Alexi,alexi
115,Alexia,alexia
116,Alexina,alexina
117,Alexine,alexine
118,Alexis,alexis
119,Alfie,alfie
120,Alfreda,alfreda
121,Ali,ali
122,Alia,alia
123,Alica,alica
124,Alice,alice
125,Alicea,alicea
126,Alicia,alicia
127,Alida,alida
128,Alidia,alidia
129,Alina,alina
130,Aline,aline
131,Alis,alis
132,Alisa,alisa
133,Alisha,alisha
134,Alison,alison
135,Alissa,alissa
136,Alisun,alisun
137,Alix,alix
138,Aliza,aliza
139,Alla,alla
140,Alleen,alleen
141,Allegra,allegra
142,Allene,allene
143,Alli,alli
144,Allianora,allianora
145,Allie,allie
146,Allina,allina
147,Allis,allis
148,Allison,allison
149,Allissa,allissa
150,Allsun,allsun
151,Ally,ally
152,Allyce,allyce
153,Allyn,allyn
154,Allys,allys
155,Allyson,allyson
156,Alma,alma
157,Almeda,almeda
158,Almeria,almeria
159,Almeta,almeta
160,Almira,almira
161,Almire,almire
162,Aloise,aloise
163,Aloisia,aloisia
164,Aloysia,aloysia
165,Alpa,alpa
166,Alta,alta
167,Althea,althea
168,Alvera,alvera
169,Alvina,alvina
170,Alvinia,alvinia
171,Alvira,alvira
172,Alyce,alyce
173,Alyda,alyda
174,Alys,alys
175,Alysa,alysa
176,Alyse,alyse
177,Alysia,alysia
178,Alyson,alyson
179,Alyss,alyss
180,Alyssa,alyssa
181,Amabel,amabel
182,Amabelle,amabelle
183,Amalea,amalea
184,Amalee,amalee
185,Amaleta,amaleta
186,Amalia,amalia
187,Amalie,amalie
188,Amalita,amalita
189,Amalle,amalle
190,Amanda,amanda
191,Amandi,amandi
192,Amandie,amandie
193,Amandy,amandy
194,Amara,amara
195,Amargo,amargo
196,Amata,amata
197,Amber,amber
198,Amberly,amberly
199,Ambrosia,ambrosia
200,Ambur,ambur
201,Ame,ame
202,Amelia,amelia
203,Amelie,amelie
204,Amelina,amelina
205,Ameline,ameline
206,Amelita,amelita
207,Ami,ami
208,Amie,amie
209,Amity,amity
210,Ammamaria,ammamaria
211,Amy,amy
212,Ana,ana
213,Anabel,anabel
214,Anabella,anabella
215,Anabelle,anabelle
216,Anais,anais
217,Analiese,analiese
218,Analise,analise
219,Anallese,anallese
220,Anallise,anallise
221,Anastasia,anastasia
222,Anastasie,anastasie
223,Anastassia,anastassia
224,Anatola,anatola
225,Andee,andee
226,Andi,andi
227,Andie,andie
228,Andra,andra
229,Andrea,andrea
230,Andreana,andreana
231,Andree,andree
232,Andrei,andrei
233,Andria,andria
234,Andriana,andriana
