,Word,Lower_case
0,Aaron,aaron
1,Abbey,abbey
2,Abbie,abbie
3,Abbot,abbot
4,Abbott,abbott
5,Abby,abby
6,Abdel,abdel
7,Abdul,abdul
8,Abdulkarim,abdulkarim
9,Abdullah,abdullah
10,Abe,abe
11,Abel,abel
12,Abelard,abelard
13,Abner,abner
14,Abraham,abraham
15,Abram,abram
16,Ace,ace
17,Adair,adair
18,Adam,adam
19,Adams,adams
20,Addie,addie
21,Adger,adger
22,Aditya,aditya
23,Adlai,adlai
24,Adnan,adnan
25,Adolf,adolf
26,Adolfo,adolfo
27,Adolph,adolph
28,Adolphe,adolphe
29,Adolpho,adolpho
30,Adolphus,adolphus
31,Adrian,adrian
32,Adrick,adrick
33,Adrien,adrien
34,Agamemnon,agamemnon
35,Aguinaldo,aguinaldo
36,Aguste,aguste
37,Agustin,agustin
38,Aharon,aharon
39,Ahmad,ahmad
40,Ahmed,ahmed
41,Ahmet,ahmet
42,Ajai,ajai
43,Ajay,ajay
44,Al,al
45,Alaa,alaa
46,Alain,alain
47,Alan,alan
48,Alasdair,alasdair
49,Alastair,alastair
50,Albatros,albatros
51,Albert,albert
52,Alberto,alberto
53,Albrecht,albrecht
54,Alden,alden
55,Aldis,aldis
56,Aldo,aldo
57,Aldric,aldric
58,Aldrich,aldrich
59,Aldus,aldus
60,Aldwin,aldwin
61,Alec,alec
62,Aleck,aleck
63,Alejandro,alejandro
64,Aleks,aleks
65,Aleksandrs,aleksandrs
66,Alessandro,alessandro
67,Alex,alex
68,Alexander,alexander
69,Alexei,alexei
70,Alexis,alexis
71,Alf,alf
72,Alfie,alfie
73,Alfonse,alfonse
74,Alfonso,alfonso
75,Alfonzo,alfonzo
76,Alford,alford
77,Alfred,alfred
78,Alfredo,alfredo
79,Algernon,algernon
80,Ali,ali
81,Alic,alic
82,Alister,alister
83,Alix,alix
84,Allah,allah
85,Allan,allan
86,Allen,allen
87,Alley,alley
88,Allie,allie
89,Allin,allin
90,Allyn,allyn
91,Alonso,alonso
92,Alonzo,alonzo
93,Aloysius,aloysius
94,Alphonse,alphonse
95,Alphonso,alphonso
96,Alston,alston
97,Alton,alton
98,Alvin,alvin
99,Alwin,alwin
100,Amadeus,amadeus
101,Ambros,ambros
102,Ambrose,ambrose
103,Ambrosi,ambrosi
104,Ambrosio,ambrosio
105,Ambrosius,ambrosius
106,Amery,amery
107,Amory,amory
108,Amos,amos
109,Anatol,anatol
110,Anatole,anatole
111,Anatollo,anatollo
112,Anatoly,anatoly
113,Anders,anders
114,Andie,andie
115,Andonis,andonis
116,Andre,andre
117,Andrea,andrea
118,Andreas,andreas
119,Andrej,andrej
120,Andres,andres
121,Andrew,andrew
122,Andrey,andrey
123,Andri,andri
124,Andros,andros
125,Andrus,andrus
126,Andrzej,andrzej
127,Andy,andy
128,Angel,angel
129,Angelico,angelico
130,Angelo,angelo
131,Angie,angie
132,Angus,angus
133,Ansel,ansel
134,Ansell,ansell
135,Anselm,anselm
136,Anson,anson
137,Anthony,anthony
138,Antin,antin
139,Antoine,antoine
140,Anton,anton
141,Antone,antone
142,Antoni,antoni
143,Antonin,antonin
144,Antonino,antonino
145,Antonio,antonio
146,Antonius,antonius
147,Antony,antony
148,Anurag,anurag
149,Apollo,apollo
150,Apostolos,apostolos
151,Aram,aram
152,Archibald,archibald
153,Archibold,archibold
154,Archie,archie
155,Archon,archon
156,Archy,archy
157,Arel,arel
158,Ari,ari
159,Arie,arie
160,Ariel,ariel
161,Aristotle,aristotle
162,Arlo,arlo
163,Armand,armand
164,Armando,armando
165,Armond,armond
166,Armstrong,armstrong
167,Arne,arne
168,Arnie,arnie
169,Arnold,arnold
170,Arnoldo,arnoldo
171,Aron,aron
172,Arron,arron
173,Art,art
174,Arther,arther
175,Arthur,arthur
176,Artie,artie
177,Artur,artur
178,Arturo,arturo
179,Arvie,arvie
180,Arvin,arvin
181,Arvind,arvind
182,Arvy,arvy
183,Ash,ash
184,Ashby,ashby
185,Ashish,ashish
186,Ashley,ashley
187,Ashton,ashton
188,Aub,aub
189,Aube,aube
190,Aubert,aubert
191,Aubrey,aubrey
192,Augie,augie
193,August,august
194,Augustin,augustin
195,Augustine,augustine
196,Augusto,augusto
197,Augustus,augustus
198,Austen,austen
199,Austin,austin
200,Ave,ave
201,Averell,averell
202,Averil,averil
203,Averill,averill
204,Avery,avery
205,Avi,avi
206,Avraham,avraham
207,Avram,avram
208,Avrom,avrom
209,Axel,axel
210,Aylmer,aylmer
211,Aziz,aziz
212,Bailey,bailey
213,Bailie,bailie
214,Baillie,baillie
215,Baily,baily
216,Baird,baird
217,Baldwin,baldwin
218,Bancroft,bancroft
219,Barbabas,barbabas
220,Barclay,barclay
221,Bard,bard
222,Barde,barde
223,Barn,barn
224,Barnabas,barnabas
225,Barnabe,barnabe
226,Barnaby,barnaby
227,Barnard,barnard
228,Barnebas,barnebas
229,Barnett,barnett
230,Barney,barney
231,Barnie,barnie
232,Barny,barny
233,Baron,baron
234,Barr,barr
235,Barret,barret
236,Barrett,barrett
237,Barri,barri
238,Barrie,barrie
239,Barris,barris
240,Barron,barron
241,Barry,barry
242,Bart,bart
243,Bartel,bartel
244,Barth,barth
245,Barthel,barthel
246,Bartholemy,bartholemy
247,Bartholomeo,bartholomeo
248,Bartholomeus,bartholomeus
249,Bartholomew,bartholomew
250,Bartie,bartie
251,Bartlet,bartlet
252,Bartlett,bartlett
253,Bartolemo,bartolemo
254,Bartolomei,bartolomei
255,Bartolomeo,bartolomeo
256,Barton,barton
257,Barty,barty
258,Bary,bary
259,Basil,basil
260,Batholomew,batholomew
261,Baxter,baxter
262,Bay,bay
263,Bayard,bayard
264,Beale,beale
265,Bealle,bealle
266,Bear,bear
267,Bearnard,bearnard
268,Beau,beau
269,Beaufort,beaufort
270,Beauregard,beauregard
271,Beck,beck
272,Bela,bela
273,Ben,ben
274,Benedict,benedict
275,Bengt,bengt
276,Benito,benito
277,Benjamen,benjamen
278,Benjamin,benjamin
279,Benji,benji
280,Benjie,benjie
281,Benjy,benjy
282,Benn,benn
283,Bennet,bennet
284,Bennett,bennett
285,Bennie,bennie
286,Benny,benny
287,Benson,benson
288,Bentley,bentley
289,Benton,benton
290,Beowulf,beowulf
291,Berchtold,berchtold
292,Berk,berk
293,Berke,berke
294,Berkeley,berkeley
295,Berkie,berkie
296,Berkley,berkley
297,Bernard,bernard
298,Bernardo,bernardo
299,Bernd,bernd
300,Bernhard,bernhard
301,Bernie,bernie
302,Bert,bert
303,Bertie,bertie
304,Bertram,bertram
305,Bertrand,bertrand
306,Bharat,bharat
307,Biff,biff
308,Bill,bill
309,Billie,billie
310,Billy,billy
311,Bing,bing
312,Binky,binky
313,Bishop,bishop
314,Bjorn,bjorn
315,Bjorne,bjorne
316,Blaine,blaine
317,Blair,blair
318,Blake,blake
319,Blare,blare
320,Blayne,blayne
321,Bo,bo
322,Bob,bob
323,Bobbie,bobbie
324,Bobby,bobby
325,Bogart,bogart
326,Bogdan,bogdan
327,Boniface,boniface
328,Boris,boris
329,Boyce,boyce
330,Boyd,boyd
331,Brad,brad
332,Braden,braden
333,Bradford,bradford
334,Bradley,bradley
335,Bradly,bradly
336,Brady,brady
337,Brandon,brandon
338,Brandy,brandy
339,Brant,brant
340,Brendan,brendan
341,Brent,brent
342,Bret,bret
343,Brett,brett
344,Brewer,brewer
345,Brewster,brewster
346,Brian,brian
347,Brice,brice
348,Briggs,briggs
349,Brinkley,brinkley
350,Britt,britt
351,Brock,brock
352,Broddie,broddie
353,Broddy,broddy
354,Broderic,broderic
355,Broderick,broderick
356,Brodie,brodie
357,Brody,brody
358,Bronson,bronson
359,Brook,brook
360,Brooke,brooke
361,Brooks,brooks
362,Bruce,bruce
363,Bruno,bruno
364,Bryan,bryan
365,Bryant,bryant
366,Bryce,bryce
367,Bryn,bryn
368,Bryon,bryon
369,Bubba,bubba
370,Buck,buck
371,Bucky,bucky
372,Bud,bud
373,Buddy,buddy
374,Burgess,burgess
375,Burke,burke
376,Burl,burl
377,Burnaby,burnaby
378,Burt,burt
379,Burton,burton
380,Buster,buster
381,Butch,butch
382,Butler,butler
383,Byram,byram
384,Byron,byron
385,Caesar,caesar
386,Cain,cain
387,Cal,cal
388,Caldwell,caldwell
389,Caleb,caleb
390,Calhoun,calhoun
391,Calvin,calvin
392,Cam,cam
393,Cameron,cameron
394,Cammy,cammy
395,Carey,carey
396,Carl,carl
397,Carleigh,carleigh
398,Carlie,carlie
399,Carlin,carlin
400,Carlo,carlo
401,Carlos,carlos
402,Carlton,carlton
403,Carlyle,carlyle
404,Carmine,carmine
405,Carroll,carroll
406,Carson,carson
407,Carsten,carsten
408,Carter,carter
409,Cary,cary
410,Caryl,caryl
411,Case,case
412,Casey,casey
413,Caspar,caspar
414,Casper,casper
415,Cass,cass
416,Cat,cat
417,Cecil,cecil
418,Cesar,cesar
419,Chad,chad
420,Chadd,chadd
421,Chaddie,chaddie
422,Chaddy,chaddy
423,Chadwick,chadwick
424,Chaim,chaim
425,Chalmers,chalmers
426,Chan,chan
427,Chance,chance
428,Chancey,chancey
429,Chanderjit,chanderjit
430,Chandler,chandler
431,Chane,chane
432,Chariot,chariot
433,Charles,charles
434,Charleton,charleton
435,Charley,charley
436,Charlie,charlie
437,Charlton,charlton
438,Chas,chas
439,Chase,chase
440,Chaunce,chaunce
441,Chauncey,chauncey
442,Che,che
443,Chelton,chelton
444,Chen,chen
445,Chester,chester
446,Cheston,cheston
447,Chet,chet
448,Chev,chev
449,Chevalier,chevalier
450,Chevy,chevy
451,Chip,chip
452,Chris,chris
453,Chrissy,chrissy
454,Christ,christ
455,Christian,christian
456,Christiano,christiano
457,Christie,christie
458,Christof,christof
459,Christofer,christofer
460,Christoph,christoph
461,Christophe,christophe
462,Christopher,christopher
463,Christorpher,christorpher
464,Christos,christos
465,Christy,christy
466,Chrisy,chrisy
467,Chuck,chuck
468,Churchill,churchill
469,Clair,clair
470,Claire,claire
471,Clancy,clancy
472,Clarance,clarance
473,Clare,clare
474,Clarence,clarence
475,Clark,clark
476,Clarke,clarke
477,Claude,claude
478,Claudio,claudio
479,Claudius,claudius
480,Claus,claus
481,Clay,clay
482,Clayborn,clayborn
483,Clayborne,clayborne
484,Claybourne,claybourne
485,Clayton,clayton
486,Cleland,cleland
487,Clem,clem
488,Clemens,clemens
489,Clement,clement
490,Clemente,clemente
491,Clemmie,clemmie
492,Cletus,cletus
493,Cleveland,cleveland
494,Cliff,cliff
495,Clifford,clifford
496,Clifton,clifton
497,Clint,clint
498,Clinten,clinten
499,Clinton,clinton
500,Clive,clive
501,Clyde,clyde
502,Cob,cob
503,Cobb,cobb
504,Cobbie,cobbie
505,Cobby,cobby
506,Cody,cody
507,Colbert,colbert
508,Cole,cole
509,Coleman,coleman
510,Colin,colin
511,Collin,collin
512,Collins,collins
513,Conan,conan
514,Connie,connie
515,Connolly,connolly
516,Connor,connor
517,Conrad,conrad
518,Conroy,conroy
519,Constantin,constantin
520,Constantine,constantine
521,Constantinos,constantinos
522,Conway,conway
523,Cooper,cooper
524,Corbin,corbin
525,Corby,corby
526,Corey,corey
527,Corky,corky
528,Cornelius,cornelius
529,Cornellis,cornellis
530,Corrie,corrie
531,Cortese,cortese
532,Corwin,corwin
533,Cory,cory
534,Cosmo,cosmo
535,Costa,costa
536,Courtney,courtney
537,Craig,craig
538,Crawford,crawford
539,Creighton,creighton
540,Cris,cris
541,Cristopher,cristopher
542,Curt,curt
543,Curtice,curtice
544,Curtis,curtis
545,Cy,cy
546,Cyril,cyril
547,Cyrill,cyrill
548,Cyrille,cyrille
549,Cyrillus,cyrillus
550,Cyrus,cyrus
551,Dabney,dabney
552,Daffy,daffy
553,Dale,dale
554,Dallas,dallas
555,Dalton,dalton
556,Damian,damian
557,Damien,damien
558,Damon,damon
559,Dan,dan
560,Dana,dana
561,Dane,dane
562,Dani,dani
563,Danie,danie
564,Daniel,daniel
565,Dannie,dannie
566,Danny,danny
567,Dante,dante
568,Darby,darby
569,Darcy,darcy
570,Daren,daren
571,Darian,darian
572,Darien,darien
573,Darin,darin
574,Dario,dario
575,Darius,darius
576,Darrel,darrel
577,Darrell,darrell
578,Darren,darren
579,Darrick,darrick
580,Darrin,darrin
581,Darryl,darryl
582,Darth,darth
583,Darwin,darwin
584,Daryl,daryl
585,Daryle,daryle
586,Dave,dave
587,Davey,davey
588,David,david
589,Davidde,davidde
590,Davide,davide
591,Davidson,davidson
592,Davie,davie
593,Davin,davin
594,Davis,davis
595,Davon,davon
596,Davoud,davoud
597,Davy,davy
598,Dawson,dawson
599,Dean,dean
600,Deane,deane
601,Del,del
602,Delbert,delbert
603,Dell,dell
604,Delmar,delmar
605,Demetre,demetre
606,Demetri,demetri
607,Demetris,demetris
608,Demetrius,demetrius
609,Demosthenis,demosthenis
610,Denis,denis
611,Dennie,dennie
612,Dennis,dennis
613,Denny,denny
614,Derby,derby
615,Derek,derek
616,Derick,derick
617,Derk,derk
618,Derrek,derrek
619,Derrick,derrick
620,Derrin,derrin
621,Derrol,derrol
622,Derron,derron
623,Deryl,deryl
624,Desmond,desmond
625,Desmund,desmund
626,Devin,devin
627,Devon,devon
628,Dewey,dewey
629,Dewitt,dewitt
630,Dexter,dexter
631,Dick,dick
632,Dickey,dickey
633,Dickie,dickie
634,Diego,diego
635,Dieter,dieter
636,Dietrich,dietrich
637,Dillon,dillon
638,Dimitri,dimitri
639,Dimitrios,dimitrios
640,Dimitris,dimitris
641,Dimitrou,dimitrou
642,Dimitry,dimitry
643,Dino,dino
644,Dion,dion
645,Dionis,dionis
646,Dionysus,dionysus
647,Dirk,dirk
648,Dmitri,dmitri
649,Dom,dom
650,Domenic,domenic
651,Domenico,domenico
652,Dominic,dominic
653,Dominick,dominick
654,Dominique,dominique
655,Don,don
656,Donal,donal
657,Donald,donald
658,Donn,donn
659,Donnie,donnie
660,Donny,donny
661,Donovan,donovan
662,Dorian,dorian
663,Dory,dory
664,Doug,doug
665,Douggie,douggie
666,Dougie,dougie
667,Douglas,douglas
668,Douglass,douglass
669,Douglis,douglis
670,Dov,dov
671,Doyle,doyle
672,Drake,drake
673,Drew,drew
674,Dru,dru
675,Dryke,dryke
676,Duane,duane
677,Dudley,dudley
678,Duffie,duffie
679,Duffy,duffy
680,Dugan,dugan
681,Duke,duke
682,Dunc,dunc
683,Duncan,duncan
684,Dunstan,dunstan
685,Durand,durand
686,Durant,durant
687,Durante,durante
688,Durward,durward
689,Dustin,dustin
690,Dwain,dwain
691,Dwaine,dwaine
692,Dwane,dwane
693,Dwayne,dwayne
694,Dwight,dwight
695,Dylan,dylan
696,Dyson,dyson
697,Earl,earl
698,Earle,earle
699,Easton,easton
700,Eben,eben
701,Ebeneser,ebeneser
702,Ebenezer,ebenezer
703,Eberhard,eberhard
704,Ed,ed
705,Eddie,eddie
706,Eddy,eddy
707,Edgar,edgar
708,Edgardo,edgardo
709,Edie,edie
710,Edmond,edmond
711,Edmund,edmund
712,Edouard,edouard
713,Edsel,edsel
714,Eduard,eduard
715,Eduardo,eduardo
716,Edward,edward
717,Edwin,edwin
718,Efram,efram
719,Egbert,egbert
720,Ehud,ehud
721,Elbert,elbert
722,Elden,elden
723,Eldon,eldon
724,Eli,eli
725,Elias,elias
726,Elihu,elihu
727,Elijah,elijah
728,Eliot,eliot
729,Eliott,eliott
730,Elisha,elisha
731,Elliot,elliot
732,Elliott,elliott
733,Ellis,ellis
734,Ellsworth,ellsworth
735,Ellwood,ellwood
736,Elmer,elmer
737,Elmore,elmore
738,Elnar,elnar
739,Elric,elric
740,Elroy,elroy
741,Elton,elton
742,Elvin,elvin
743,Elvis,elvis
744,Elwin,elwin
745,Elwood,elwood
746,Elwyn,elwyn
747,Ely,ely
748,Emanuel,emanuel
749,Emerson,emerson
750,Emery,emery
751,Emil,emil
752,Emile,emile
753,Emilio,emilio
754,Emmanuel,emmanuel
755,Emmery,emmery
756,Emmet,emmet
757,Emmett,emmett
758,Emmit,emmit
759,Emmott,emmott
760,Emmy,emmy
761,Emory,emory
762,Ender,ender
763,Engelbart,engelbart
764,Engelbert,engelbert
765,Englebart,englebart
766,Englebert,englebert
767,Enoch,enoch
768,Enrico,enrico
769,Enrique,enrique
770,Ephraim,ephraim
